perf_id,campaign_id,inf_id,post_date,post_url,actual_cost,impressions,clicks,conversions,revenue,genai_comment_summary
32,DALBA-CAMP-040,doyun41_instagram,2025-10-28,https://instagram.com/p/H1m3NQ0k^K0,1794737,179187,3595,43,1765064,긍정 71%. '흡수력' 키워드 언급 다수.
33,DALBA-CAMP-165,minseobae_instagram,2025-10-28,https://instagram.com/p/@^9NajW$Ud_,801627,41059,662,9,387459,긍정 92%. '향기' 키워드 언급 다수.
34,DALBA-CAMP-143,aneunjeong_youtube,2025-10-28,https://instagram.com/p/3LF753Ht)mr,2931359,143431,6682,136,5582120,긍정 75%. '패키징' 키워드 언급 다수.
35,DALBA-CAMP-193,yunseobag_youtube,2025-10-28,https://instagram.com/p/31W6yHDh$Pa,2750672,265637,10747,118,6233468,긍정 79%. '광채' 키워드 언급 다수.
36,DALBA-CAMP-098,yeeun94_tiktok,2025-10-28,https://instagram.com/p/#l4q+d*uB&O,2612455,27482,380,5,172720,긍정 76%. '향기' 키워드 언급 다수.
37,DALBA-CAMP-063,wmin_tiktok,2025-10-28,https://instagram.com/p/#*chLVa)6Ez,4304210,149661,1581,23,1128955,긍정 94%. '패키징' 키워드 언급 다수.
38,DALBA-CAMP-191,bgim_tiktok,2025-10-28,https://instagram.com/p/pQENbSjD+9L,551797,35052,1635,29,1358534,긍정 80%. '향기' 키워드 언급 다수.
39,DALBA-CAMP-028,seoyeongim_tiktok,2025-10-28,https://instagram.com/p/np6tL^sz+&!,327669,10084,249,1,30006,긍정 74%. '흡수력' 키워드 언급 다수.
40,DALBA-CAMP-158,jinho54_youtube,2025-10-28,https://instagram.com/p/Ja2Zs(Vy^C6,1921881,153790,4548,129,6557199,긍정 75%. '향기' 키워드 언급 다수.
41,DALBA-CAMP-166,fan_youtube,2025-10-28,https://instagram.com/p/4!Z8BJqu_W6,4802894,335775,15051,270,11122650,긍정 83%. '광채' 키워드 언급 다수.
42,DALBA-CAMP-095,jihyeoni_youtube,2025-10-28,https://instagram.com/p/&C9UmuOpEG0,2796851,276041,5810,90,3341970,긍정 73%. '향기' 키워드 언급 다수.
43,DALBA-CAMP-199,migyeong71_tiktok,2025-10-28,https://instagram.com/p/KfI4YVf^&(w,539430,36732,608,4,124444,긍정 90%. '패키징' 키워드 언급 다수.
44,DALBA-CAMP-168,eunseo62_youtube,2025-10-28,https://instagram.com/p/%mYUpwwb6Zx,545353,25561,787,9,389052,긍정 85%. '패키징' 키워드 언급 다수.
45,DALBA-CAMP-142,haeunjo_tiktok,2025-10-28,https://instagram.com/p/$_0EhNejpyk,3660291,129747,3941,35,2090585,긍정 93%. '광채' 키워드 언급 다수.
46,DALBA-CAMP-164,hbaeg_youtube,2025-10-28,https://instagram.com/p/bM*Qxf$n!7Q,3728814,325446,14196,235,11436980,긍정 73%. '패키징' 키워드 언급 다수.
47,DALBA-CAMP-027,zyun_youtube,2025-10-28,https://instagram.com/p/+0Uvaac4ZU@,3487403,269278,4661,96,3973920,긍정 71%. '흡수력' 키워드 언급 다수.
48,DALBA-CAMP-147,hanminseo_youtube,2025-10-28,https://instagram.com/p/aXB5sE7x(6T,229728,6042,262,7,236985,긍정 70%. '패키징' 키워드 언급 다수.
49,DALBA-CAMP-115,sangceol75_tiktok,2025-10-28,https://instagram.com/p/uUfgM3Rq%89,4333334,245975,11436,196,6695164,긍정 76%. '광채' 키워드 언급 다수.
50,DALBA-CAMP-194,seunghyeon43_tiktok,2025-10-28,https://instagram.com/p/edE_FdwO*3i,3427181,147150,6183,164,5800352,긍정 75%. '향기' 키워드 언급 다수.
51,DALBA-CAMP-053,ujin71_tiktok,2025-10-28,https://instagram.com/p/n#38SaP%NgJ,237662,11932,513,13,509743,긍정 76%. '패키징' 키워드 언급 다수.
52,DALBA-CAMP-193,ujin71_tiktok,2025-10-28,https://instagram.com/p/M%L1WL$Hxkd,797441,15508,251,2,60566,긍정 83%. '흡수력' 키워드 언급 다수.
53,DALBA-CAMP-150,gimyeonghyi_youtube,2025-10-28,https://instagram.com/p/&lN3YVszw%m,1093101,41971,1311,15,527580,긍정 85%. '광채' 키워드 언급 다수.
54,DALBA-CAMP-075,rgim_tiktok,2025-10-28,https://instagram.com/p/X@1Kocir62h,3771929,289428,6912,178,8612530,긍정 91%. '광채' 키워드 언급 다수.
55,DALBA-CAMP-020,ggim_instagram,2025-10-28,https://instagram.com/p/^NgvB$7o3$!,4261020,101979,1974,33,1567731,긍정 89%. '패키징' 키워드 언급 다수.
56,DALBA-CAMP-036,bagyeongceol_instagram,2025-10-28,https://instagram.com/p/w8kLPqOc&tn,3010516,198650,2430,28,1671544,긍정 87%. '흡수력' 키워드 언급 다수.
57,DALBA-CAMP-153,mgim_instagram,2025-10-28,https://instagram.com/p/GFa97Vr6@7W,3982327,72831,3475,101,5165645,긍정 74%. '흡수력' 키워드 언급 다수.
58,DALBA-CAMP-126,sumin09_youtube,2025-10-28,https://instagram.com/p/2$)qOhqc^lU,3557353,165268,3351,81,3391470,긍정 91%. '향기' 키워드 언급 다수.
59,DALBA-CAMP-033,siumin_tiktok,2025-10-28,https://instagram.com/p/pWHMU6noH(i,794101,48739,2238,63,1975617,긍정 72%. '광채' 키워드 언급 다수.
60,DALBA-CAMP-013,sugja58_instagram,2025-10-28,https://instagram.com/p/^7*b9KiXfaF,4396022,273693,9904,144,6506064,긍정 87%. '패키징' 키워드 언급 다수.
61,DALBA-CAMP-025,seonghyeon72_tiktok,2025-10-28,https://instagram.com/p/#p8O9il9Egx,3435645,296142,9140,159,9052188,긍정 77%. '광채' 키워드 언급 다수.
62,DALBA-CAMP-024,yunjongsu_instagram,2025-10-28,https://instagram.com/p/M^1RWjhGtqq,203042,18225,329,4,195828,긍정 71%. '흡수력' 키워드 언급 다수.
63,DALBA-CAMP-139,ujin71_tiktok,2025-10-28,https://instagram.com/p/A&X6bA^yos&,777689,61383,2001,48,2238528,긍정 92%. '향기' 키워드 언급 다수.
64,DALBA-CAMP-026,jeongsunseo_instagram,2025-10-28,https://instagram.com/p/fbne!aub+8A,4258678,207001,9140,70,2481080,긍정 75%. '흡수력' 키워드 언급 다수.
65,DALBA-CAMP-146,minjunbae_instagram,2025-10-28,https://instagram.com/p/^q&SRB8sD7I,3834794,152926,2187,33,1425270,긍정 77%. '향기' 키워드 언급 다수.
66,DALBA-CAMP-138,ryuyeongmi_instagram,2025-10-28,https://instagram.com/p/j%$5B9Rwf5$,756280,17168,488,12,459228,긍정 80%. '흡수력' 키워드 언급 다수.
67,DALBA-CAMP-151,bgim_tiktok,2025-10-28,https://instagram.com/p/+*At0y)vESH,1131640,92817,4130,71,2551385,긍정 75%. '광채' 키워드 언급 다수.
68,DALBA-CAMP-157,munmisug_tiktok,2025-10-28,https://instagram.com/p/@W@4Fh8l@54,214571,15715,697,20,1186160,긍정 81%. '광채' 키워드 언급 다수.
69,DALBA-CAMP-163,jeonghyi98_youtube,2025-10-28,https://instagram.com/p/O2(P&2YrZ+U,3556960,252355,3811,74,4105446,긍정 85%. '광채' 키워드 언급 다수.
70,DALBA-CAMP-066,yeonggil72_tiktok,2025-10-28,https://instagram.com/p/@^7sRm%qL%T,3357228,139508,4843,70,3697750,긍정 93%. '패키징' 키워드 언급 다수.
71,DALBA-CAMP-110,yeongsugi_youtube,2025-10-28,https://instagram.com/p/t0m#9U_bq&+,3714877,315099,7526,178,9865650,긍정 82%. '광채' 키워드 언급 다수.
72,DALBA-CAMP-070,yujin08_youtube,2025-10-28,https://instagram.com/p/%0F6X^XtpnR,301706,22928,907,12,434544,긍정 85%. '향기' 키워드 언급 다수.
73,DALBA-CAMP-129,jeonghun48_youtube,2025-10-28,https://instagram.com/p/!9NjNojFSNs,3564134,236546,9975,241,9216563,긍정 84%. '패키징' 키워드 언급 다수.
74,DALBA-CAMP-154,ri_youtube,2025-10-28,https://instagram.com/p/wn6XAaaem)2,3927426,53541,711,20,914280,긍정 70%. '광채' 키워드 언급 다수.
75,DALBA-CAMP-163,bagyeeun_tiktok,2025-10-28,https://instagram.com/p/8&03cFtCdKX,4656783,292382,14258,306,10189188,긍정 94%. '흡수력' 키워드 언급 다수.
76,DALBA-CAMP-087,eunyeong19_tiktok,2025-10-28,https://instagram.com/p/W_3OicCP62S,787137,77067,2544,63,3306177,긍정 85%. '패키징' 키워드 언급 다수.
77,DALBA-CAMP-057,nojunho_youtube,2025-10-28,https://instagram.com/p/%V3E^Fcxuhe,3418566,92043,4591,133,5549558,긍정 82%. '흡수력' 키워드 언급 다수.
78,DALBA-CAMP-041,seoyeong70_instagram,2025-10-28,https://instagram.com/p/@8muVsid!3g,4324207,394627,19351,430,23214840,긍정 78%. '흡수력' 키워드 언급 다수.
79,DALBA-CAMP-127,ryuseoyun_instagram,2025-10-28,https://instagram.com/p/g@3UeaecyEL,1662749,117123,4366,46,1453600,긍정 76%. '흡수력' 키워드 언급 다수.
80,DALBA-CAMP-003,minseo53_instagram,2025-10-28,https://instagram.com/p/^1&IG#0R)ur,219815,17538,525,12,560964,긍정 90%. '흡수력' 키워드 언급 다수.
81,DALBA-CAMP-131,hanminseo_youtube,2025-10-28,https://instagram.com/p/l_25&Zs%$6m,3088155,75182,1283,30,1359390,긍정 77%. '패키징' 키워드 언급 다수.
82,DALBA-CAMP-062,jongsu20_youtube,2025-10-28,https://instagram.com/p/92p@W*)e)hp,1486716,20271,353,9,474273,긍정 89%. '향기' 키워드 언급 다수.
83,DALBA-CAMP-176,jeonghyi98_youtube,2025-10-28,https://instagram.com/p/o6o0Ft9x#uU,2074791,31821,643,10,551300,긍정 76%. '광채' 키워드 언급 다수.
84,DALBA-CAMP-070,eunyeongbag_youtube,2025-10-28,https://instagram.com/p/_1gC9wgU&1E,2592641,41833,713,19,999248,긍정 74%. '향기' 키워드 언급 다수.
85,DALBA-CAMP-030,gimjia_youtube,2025-10-28,https://instagram.com/p/bH1Kszd(E)M,2246587,213461,3059,51,1542138,긍정 81%. '패키징' 키워드 언급 다수.
86,DALBA-CAMP-044,seunghyeon43_tiktok,2025-10-28,https://instagram.com/p/f02%WTxs*7L,3142653,201517,3454,91,4408859,긍정 82%. '패키징' 키워드 언급 다수.
87,DALBA-CAMP-109,jeongsu12_youtube,2025-10-28,https://instagram.com/p/HpRxt3Ux^oL,2528566,144421,3798,43,2035878,긍정 76%. '향기' 키워드 언급 다수.
88,DALBA-CAMP-105,yeongsumin_instagram,2025-10-28,https://instagram.com/p/D^3C2n)zGVP,3868092,108547,4463,73,2845321,긍정 81%. '향기' 키워드 언급 다수.
89,DALBA-CAMP-148,fan_youtube,2025-10-28,https://instagram.com/p/8+GgxkaoxB5,252933,23005,963,22,712272,긍정 84%. '흡수력' 키워드 언급 다수.
90,DALBA-CAMP-024,namseoyeong_youtube,2025-10-28,https://instagram.com/p/%#d4cR+wdf2,81558,7279,155,1,51119,긍정 89%. '향기' 키워드 언급 다수.
91,DALBA-CAMP-199,seungmin32_tiktok,2025-10-28,https://instagram.com/p/+4gWAWMdlZO,3690736,141314,5414,59,3439995,긍정 95%. '광채' 키워드 언급 다수.
92,DALBA-CAMP-146,siumin_tiktok,2025-10-28,https://instagram.com/p/*UXGSzgDH3w,4596256,387302,19108,174,10133412,긍정 70%. '향기' 키워드 언급 다수.
93,DALBA-CAMP-004,igim_youtube,2025-10-28,https://instagram.com/p/@J5Kg+KQhoM,4534655,431556,9195,57,3231387,긍정 81%. '패키징' 키워드 언급 다수.
94,DALBA-CAMP-141,seunghyeonbag_tiktok,2025-10-28,https://instagram.com/p/JCn7gChZQ)E,2836199,281992,8760,237,8027901,긍정 73%. '광채' 키워드 언급 다수.
95,DALBA-CAMP-163,gojunho_youtube,2025-10-28,https://instagram.com/p/Aa7mOFut@%%,1802801,55025,2582,50,2558750,긍정 71%. '향기' 키워드 언급 다수.
96,DALBA-CAMP-024,mgim_instagram,2025-10-28,https://instagram.com/p/8vP(0D+csaz,3845757,118287,4125,122,6177470,긍정 71%. '패키징' 키워드 언급 다수.
97,DALBA-CAMP-104,gimjia_youtube,2025-10-28,https://instagram.com/p/17gcCw1R!WB,2403666,128918,3271,38,1536226,긍정 81%. '패키징' 키워드 언급 다수.
98,DALBA-CAMP-156,yeonghyigim_tiktok,2025-10-28,https://instagram.com/p/W%5Cs)Cl!0R,4036795,59673,893,15,605880,긍정 71%. '패키징' 키워드 언급 다수.
99,DALBA-CAMP-016,bsong_tiktok,2025-10-28,https://instagram.com/p/Sq0QssdvY)I,900217,75068,1040,14,699048,긍정 71%. '광채' 키워드 언급 다수.
100,DALBA-CAMP-149,xgim_instagram,2025-10-28,https://instagram.com/p/cwyOXHUw%@7,1967331,98469,1883,20,948980,긍정 89%. '흡수력' 키워드 언급 다수.
101,DALBA-CAMP-168,ryuyeongsun_instagram,2025-10-28,https://instagram.com/p/VTx0J)_tE#3,2010810,183145,8588,223,8331280,긍정 92%. '패키징' 키워드 언급 다수.
102,DALBA-CAMP-136,hanminseo_youtube,2025-10-28,https://instagram.com/p/#UL@f3L^C0B,4416523,225353,5665,41,1499001,긍정 79%. '광채' 키워드 언급 다수.
103,DALBA-CAMP-133,yeonghwan48_instagram,2025-10-28,https://instagram.com/p/)oQwe(1k01p,3615419,255051,6029,163,8288061,긍정 78%. '향기' 키워드 언급 다수.
104,DALBA-CAMP-182,yejingim_tiktok,2025-10-28,https://instagram.com/p/!3P5AB%i&yR,4152976,306167,5938,56,3050936,긍정 80%. '패키징' 키워드 언급 다수.
105,DALBA-CAMP-094,jiugim_tiktok,2025-10-28,https://instagram.com/p/1jjn%l0p*HG,4683451,124921,3344,81,4289841,긍정 76%. '패키징' 키워드 언급 다수.
106,DALBA-CAMP-017,isim_youtube,2025-10-28,https://instagram.com/p/(FAHxcht!_0,150329,7062,182,2,67876,긍정 84%. '패키징' 키워드 언급 다수.
107,DALBA-CAMP-180,iujin_instagram,2025-10-28,https://instagram.com/p/#Qm8IfuC!N),4596624,355165,13593,303,16255041,긍정 72%. '패키징' 키워드 언급 다수.
108,DALBA-CAMP-138,yeongho16_instagram,2025-10-28,https://instagram.com/p/k!0uB*IcyZP,4808599,291095,13294,85,4999955,긍정 90%. '흡수력' 키워드 언급 다수.
109,DALBA-CAMP-137,seoyeongim_tiktok,2025-10-28,https://instagram.com/p/!dTtU$YaH2L,2298037,124983,3127,47,2495700,긍정 79%. '광채' 키워드 언급 다수.
110,DALBA-CAMP-050,eunseo62_youtube,2025-10-28,https://instagram.com/p/5s8PBKsl(C%,326519,32223,688,6,268200,긍정 92%. '향기' 키워드 언급 다수.
111,DALBA-CAMP-112,than_tiktok,2025-10-28,https://instagram.com/p/ymtZWJxOC%5,408244,6128,209,2,88694,긍정 89%. '향기' 키워드 언급 다수.
112,DALBA-CAMP-160,seunghyeonbag_tiktok,2025-10-28,https://instagram.com/p/Q$gs3v&b$9E,4481829,94255,2482,22,792550,긍정 78%. '광채' 키워드 언급 다수.
113,DALBA-CAMP-183,wgim_instagram,2025-10-28,https://instagram.com/p/fIlz1rSw_%6,4418921,134927,6221,96,5085792,긍정 70%. '흡수력' 키워드 언급 다수.
114,DALBA-CAMP-181,tgo_youtube,2025-10-28,https://instagram.com/p/n(kUZi#T9q7,4336955,133755,6052,169,6015217,긍정 95%. '패키징' 키워드 언급 다수.
115,DALBA-CAMP-193,qgim_youtube,2025-10-28,https://instagram.com/p/Gxt6hU6X*^8,2640112,125233,1359,14,711704,긍정 88%. '패키징' 키워드 언급 다수.
116,DALBA-CAMP-023,bbaeg_youtube,2025-10-28,https://instagram.com/p/%MN8UCs##If,3912154,332009,4706,87,3749874,긍정 95%. '향기' 키워드 언급 다수.
117,DALBA-CAMP-173,jihyeoni_youtube,2025-10-28,https://instagram.com/p/KBhB3LlpIb*,4782725,205448,5675,160,7375520,긍정 81%. '향기' 키워드 언급 다수.
118,DALBA-CAMP-120,yeweon56_instagram,2025-10-28,https://instagram.com/p/B*!AZKeseP5,81652,1434,23,0,0,긍정 81%. '광채' 키워드 언급 다수.
119,DALBA-CAMP-175,haeuni_tiktok,2025-10-28,https://instagram.com/p/cEh9T#tx^C_,2200379,165831,5232,94,3250614,긍정 93%. '흡수력' 키워드 언급 다수.
120,DALBA-CAMP-181,hbaeg_youtube,2025-10-28,https://instagram.com/p/@tD0v6Ss7eB,2536947,57963,702,10,506300,긍정 95%. '광채' 키워드 언급 다수.
121,DALBA-CAMP-027,gimsangho_youtube,2025-10-28,https://instagram.com/p/Px_5P3GucKj,1994325,126044,3610,93,3904140,긍정 95%. '광채' 키워드 언급 다수.
122,DALBA-CAMP-187,sangceol89_instagram,2025-10-28,https://instagram.com/p/^5!!sOaQlrK,4627746,95022,4572,68,2514436,긍정 89%. '향기' 키워드 언급 다수.
123,DALBA-CAMP-192,gimyeonghyi_youtube,2025-10-28,https://instagram.com/p/*$GWrnC%L77,4132454,282380,8262,241,10347576,긍정 85%. '흡수력' 키워드 언급 다수.
124,DALBA-CAMP-074,fan_youtube,2025-10-28,https://instagram.com/p/^v5J%Sfz(vz,455707,32232,1063,27,1395468,긍정 86%. '패키징' 키워드 언급 다수.
125,DALBA-CAMP-160,bbag_instagram,2025-10-28,https://instagram.com/p/&Or%N+Ua%j4,4702598,55039,1496,23,1237124,긍정 72%. '흡수력' 키워드 언급 다수.
126,DALBA-CAMP-162,ri_youtube,2025-10-28,https://instagram.com/p/u32^je_z@GD,460470,38194,1304,31,1356653,긍정 92%. '흡수력' 키워드 언급 다수.
127,DALBA-CAMP-061,haeuni_tiktok,2025-10-28,https://instagram.com/p/f4!SL$z_$1K,3883893,193729,2454,32,990560,긍정 71%. '향기' 키워드 언급 다수.
128,DALBA-CAMP-113,minjunbae_instagram,2025-10-28,https://instagram.com/p/iodAyrA)#2j,2822075,42424,762,9,536454,긍정 83%. '광채' 키워드 언급 다수.
129,DALBA-CAMP-188,seogyeonghyi_tiktok,2025-10-28,https://instagram.com/p/^0Fho$_Xn3U,3886591,164400,4641,45,1538955,긍정 76%. '향기' 키워드 언급 다수.
130,DALBA-CAMP-048,wgim_instagram,2025-10-28,https://instagram.com/p/)AB93C6ki^*,1083376,48331,736,15,675840,긍정 79%. '흡수력' 키워드 언급 다수.
131,DALBA-CAMP-040,egim_tiktok,2025-10-28,https://instagram.com/p/Q^BrYUzkLn6,1073884,84518,1245,16,556704,긍정 79%. '광채' 키워드 언급 다수.
132,DALBA-CAMP-139,seungmin32_tiktok,2025-10-28,https://instagram.com/p/7$eBeiRfH97,3286859,312990,6641,141,6310596,긍정 70%. '패키징' 키워드 언급 다수.
133,DALBA-CAMP-018,fan_youtube,2025-10-28,https://instagram.com/p/@SnPVw9Bc2N,2286923,78095,1614,29,1410415,긍정 75%. '패키징' 키워드 언급 다수.
134,DALBA-CAMP-119,gimboram_instagram,2025-10-28,https://instagram.com/p/73GcUMq_$Ic,3744333,205474,4349,61,2987292,긍정 86%. '흡수력' 키워드 언급 다수.
135,DALBA-CAMP-002,ogja78_tiktok,2025-10-28,https://instagram.com/p/m(9!3Bjx*h),2952892,36301,784,4,183596,긍정 83%. '향기' 키워드 언급 다수.
136,DALBA-CAMP-021,gimjihu_instagram,2025-10-28,https://instagram.com/p/l$GUPQ$y#7*,3914085,275379,12750,140,4932060,긍정 74%. '광채' 키워드 언급 다수.
137,DALBA-CAMP-185,yeongsugi_youtube,2025-10-28,https://instagram.com/p/W)46LPGamP(,1750823,161957,7886,191,6322864,긍정 80%. '흡수력' 키워드 언급 다수.
138,DALBA-CAMP-117,jihyeoni_youtube,2025-10-28,https://instagram.com/p/^B+UB#va3(5,995633,75300,1670,28,876540,긍정 78%. '광채' 키워드 언급 다수.
139,DALBA-CAMP-186,yeonghyigim_tiktok,2025-10-28,https://instagram.com/p/*2RRbz*3iT6,1910338,32439,1489,9,401805,긍정 86%. '향기' 키워드 언급 다수.
140,DALBA-CAMP-037,myeongjahwang_instagram,2025-10-28,https://instagram.com/p/SWtZ3ImfQ)K,2362571,154667,1744,16,869392,긍정 83%. '패키징' 키워드 언급 다수.
141,DALBA-CAMP-183,mgim_instagram,2025-10-28,https://instagram.com/p/c(6NtdmcWKB,2081152,111733,4169,53,3093345,긍정 84%. '광채' 키워드 언급 다수.
142,DALBA-CAMP-119,jeonghun48_youtube,2025-10-28,https://instagram.com/p/$bB1sOoyK3D,2237034,92314,3451,87,5208690,긍정 72%. '향기' 키워드 언급 다수.
143,DALBA-CAMP-011,baeseojun_instagram,2025-10-28,https://instagram.com/p/8G%8N@eya%k,688072,16398,379,5,292335,긍정 94%. '광채' 키워드 언급 다수.
144,DALBA-CAMP-058,ryuyeongsun_instagram,2025-10-28,https://instagram.com/p/l*2YloJ$V*m,3448263,77929,879,11,517781,긍정 76%. '광채' 키워드 언급 다수.
145,DALBA-CAMP-104,hanminseo_youtube,2025-10-28,https://instagram.com/p/Tv%8FnGLo@l,3776736,274765,6770,145,5519570,긍정 93%. '흡수력' 키워드 언급 다수.
146,DALBA-CAMP-133,jeongsunseo_instagram,2025-10-28,https://instagram.com/p/_5gPxa071sw,2696405,115001,5325,108,6474924,긍정 79%. '광채' 키워드 언급 다수.
147,DALBA-CAMP-032,gyeongsug65_instagram,2025-10-28,https://instagram.com/p/@cDvgLV99Uh,3642532,347766,4182,32,1907296,긍정 81%. '광채' 키워드 언급 다수.
148,DALBA-CAMP-116,miyeongi_tiktok,2025-10-28,https://instagram.com/p/%+BITW9e1U4,3510927,314077,3894,73,3766581,긍정 79%. '흡수력' 키워드 언급 다수.
149,DALBA-CAMP-089,bbag_instagram,2025-10-28,https://instagram.com/p/SHCKzY2o@5*,384102,14741,676,8,288216,긍정 94%. '광채' 키워드 언급 다수.
150,DALBA-CAMP-154,jeonghunbae_instagram,2025-10-28,https://instagram.com/p/&0L3pzv_g5Y,2953737,251979,6909,81,4007799,긍정 74%. '패키징' 키워드 언급 다수.
151,DALBA-CAMP-187,gangyeongmi_tiktok,2025-10-28,https://instagram.com/p/LTo$6ROj(i+,4808027,406361,15269,122,6287880,긍정 94%. '향기' 키워드 언급 다수.
